Id,Label,Gender
a1310,Saul Zaentz,2
a1311,Michael Lynne,2
a1313,Andrew Lesnie,2
a1314,Grant Major,2
a1315,John Gilbert,2
a1316,Joe Bleakley,0
a1317,Philip Ivey,2
a1318,Rob Outterside,0
a1319,Mark Robins,0
a1320,Alan Lee,2
a1321,John Howe,2
a1322,Ngila Dickson,1
a1323,Richard Taylor,2
a1324,Victoria Burrows,1
a1325,John Hubbard,2
a1326,Liz Mullane,1
a1327,Ian McKellen,2
a1328,Sean Astin,2
a1330,Dominic Monaghan,2
a1334,Feng Li,0
a1335,Wang Bin,0
a1336,Jet Li,2
a1338,Maggie Cheung,1
a1339,Zhang Ziyi,1
a1341,Donnie Yen,2
a1346,Bertrand Lenclos,0
a1348,Philip Lee,2
a1349,Shoufang Dou,0
a1351,William Kong,2
a1353,Zhang Weiping,0
a1355,Zhenyan Zhang,0
a1357,Christopher Doyle,2
a1358,Tingxiao Huo,0
a1360,Dun Tan,0
a1361,Angie Lam,2
a1362,Vincent Lee,0
a1363,Ru Zhai,0
a1364,Zhenzhou Yi,0
a1366,Sala Baker,2
a1371,David Wenham,2
a1373,Dan Hennah,2
a1374,Elizabeth Fraser,0
a1376,Michael Horton,2
a1377,Jabez Olssen,0
a1378,Jacek Petrycki,0
a1379,Krystyna Rutkowska,0
a1380,Jacek Szeligowski,0
a1390,Jamie Selkirk,2
a1392,Witold Stok,0
a1397,Krzysztof Pakulski,0
a1398,Jan Kanty Pawluskiewicz,0
a1399,Andrzej Rafal Waltenberger,0
a1400,Wojciech Kilar,2
a1401,Elżbieta Kurkowska,0
a1414,Goro Miyazaki,0
a1415,Ursula K. Le Guin,0
a1416,Keiko Niwa,0
a1417,Toshio Suzuki,2
a1418,Albert Maysles,2
a1420,Robert Drew,2
a1421,Porter Bibb,0
a1423,Joanne Burke,0
a1425,Robert Farren,0
a1426,Ellen Giffard,0
a1427,Kent McKinney,0
a1428,Mick Jagger,2
a1431,Bill Wyman,2
a1442,Jerry Garcia,2
a1459,Tina Turner,1
a1461,George Clooney,2
a1462,Tim Blake Nelson,2
a1472,Ray McKinnon,2
a1477,Charlotte Zwerin,1
a1482,John Cameron,2
a1483,T Bone Burnett,0
a1484,Ellen Chenoweth,1
a1487,Bob Dylan,2
a1488,Albert Grossman,0
a1489,Bob Neuwirth,2
a1491,Alan Price,0
a1493,Donovan,2
a1495,John Court,0
a1496,Tod Browning,2
a1497,Irving Thalberg,2
a1498,Merritt B. Gerstad,2
a1499,Basil Wrangell,0
a1500,Al Boasberg,0
a1503,Willis Goldbeck,2
a1504,Leon Gordon,2
a1505,Edgar Allan Woolf,2
a1524,Harold Ramis,2
a1525,Trevor Albert,2
a1526,Danny Rubin,2
a1527,John Bailey,2
a1528,George Fenton,2
a1529,David Nichols,2
a1530,Howard Feuer,2
a1531,Pembroke J. Herring,2
a1532,Bill Murray,2
a1533,Andie MacDowell,1
a1535,Brian Doyle-Murray,2
a1544,Bram Stoker,2
a1545,Hamilton Deane,0
a1546,John L. Balderston,2
a1551,Philip Glass,2
a1552,Milton Carruth,2
a1553,Maurice Pivar,0
a1556,E.M. Asher,0
a1557,Carl Laemmle Jr.,2
a1558,Søren Kragh-Jacobsen,2
a1559,Birgitte Hald,1
a1560,Morten Kaufmann,0
a1566,Anders Hove,2
a1570,Anthony Dod Mantle,2
a1572,Morten Degnbol,0
a1573,Hans Møller,0
a1574,Stine Bruel,0
a1575,Vagn Rose,0
a1576,Peter Darling,0
a1577,Richard Kelly,2
a1586,Adam Fields,2
a1587,Sean McKittrick,2
a1588,Nancy Juvonen,1
a1589,Michael Andrews,2
a1590,Steven Poster,2
a1591,Sam Bauer,0
a1592,Eric Strand,2
a1593,Joseph Middleton,2
a1594,Michelle Morris,1
a1596,Jennifer Barak,0
a1597,Michael Payne,0
a1614,Ang Lee,2
a1615,Du Lu Wang,0
a1617,James Schamus,0
a1618,Kuo Jung Tsai,0
a1619,Chow Yun-fat,2
a1631,Peter Asmussen,0
a1632,Robby Müller,2
a1633,Peter Pau,2
a1634,Anders Refn,0
a1635,Tim Squyres,2
a1636,Timmy Yip,0
a1637,Joachim Holbek,0
a1638,Eugene Gearty,0
a1642,Jean-Marc Barr,2
a1644,Jonathan Hackett,0
a1650,François Truffaut,0
a1651,Jean Constantin,2
a1652,Marcel Moussy,0
a1653,Jean-Pierre Léaud,2
a1657,Henri Decaë,2
a1663,Marie-Josèphe Yoyotte,0
a1664,Georges Charlot,0
a1675,Irene Blecua,1
a1677,Izo Hashimoto,0
a1690,Haruyo Kanesaku,0
a1691,Shunzo Kato,0
a1692,Yutaka Maseba,0
a1694,Hiroe Tsukamoto,0
a1695,Shoji Yamashiro,0
a1696,Katsuji Misawa,0
a1697,Takeshi Seyama,2
a1698,Kazuo Ebisawa,0
a1699,Yuji Ikehata,0
a1700,Koji Ono,0
a1701,Keiji Muraki,0
a1702,Hiruhiko Ono,0
a1704,Gore Verbinski,2
a1705,Ted Elliott,2
a1706,Terry Rossio,2
a1707,Stuart Beattie,0
a1708,Jay Wolpert,2
a1718,Brian Morris,2
a1719,Jennifer Alessi,0
a1720,Ronna Kress,1
a1721,Stephen E. Rivkin,0
a1722,Craig Wood,2
a1723,Walter Hill,2
a1724,Roger Spottiswoode,2
a1725,Larry Gross,2
a1726,Steven E. de Souza,2
a1728,Ric Waite,2
a1729,James Horner,2
a1730,Judith Holstra,1
a1731,Freeman A. Davies,2
a1732,Mark Warner,2
a1733,Nick Nolte,2
a1744,Robert Wise,2
a1745,Gene Roddenberry,2
a1746,Alan Dean Foster,2
a1747,Harold Livingston,2
a1748,William Shatner,2
a1749,Leonard Nimoy,2
a1754,Walter Koenig,2
a1758,Eugen Schüfftan,2
a1760,Jerry Goldsmith,2
a1761,Alexander Courage,2
a1762,Richard H. Kline,2
a1763,Leon Harris,2
a1765,Harold Michelson,2
a1767,Todd C. Ramsay,2
a1768,Marvin Paige,2
a1769,Sofia Coppola,1
a1772,Anna Faris,1
a1776,Francis Ford Coppola,2
a1777,Ross Katz,0
a1779,Kevin Shields,0
a1780,Justin Stanley,0
a1781,Lance Acord,2
a1782,Sarah Flack,1
a1783,K.K. Barrett,0
a1784,Anne Ross,1
a1788,Nicholas Meyer,2
a1790,Robert Sallin,2
a1791,Harve Bennett,2
a1792,Jack B. Sowards,2
