Id,imdbId,Label,Year,Genre
m175339,tt0012645,Mad Love,1921,Drama
m6793,tt0012651,The Haunted Castle,1921,"Crime,Drama,Horror"
m36841,tt0012675,The Sheik,1921,"Action,Adventure,Drama,Romance"
m82731,tt0012752,The Three Musketeers,1921,"Action,Adventure,Romance"
m71436,tt0012763,Tol'able David,1921,Drama
m97995,tt0127834,Seven Years Bad Luck,1921,Comedy
m175461,tt0140434,Lichtspiel opus I,1921,
m175457,tt0403386,Opus II,1921,Animation
m25770,tt0012543,The Paleface,1922,"Western,Comedy"
m282266,tt0012881,The Adventures of Robinson Crusoe,1922,Adventure
m53231,tt0012938,Beyond the Rocks,1922,"Drama,Romance"
m37360,tt0012945,The Blacksmith,1922,Comedy
m95134,tt0012952,Blood and Sand,1922,"Drama,Romance"
m38742,tt0013025,Cops,1922,Comedy
m38787,tt0013055,Day Dreams,1922,Comedy
m157856,tt0013059,Once Upon a Time,1922,
m42366,tt0013075,Dr. Jack,1922,Comedy
m5998,tt0013086,"Dr. Mabuse, the Gambler",1922,"Crime,Drama,Mystery,Thriller"
m51366,tt0013099,The Electric House,1922,Comedy
m130064,tt0013134,Flesh and Blood,1922,
m35227,tt0013140,Foolish Wives,1922,Drama
m51364,tt0013158,The Frozen North,1922,Comedy
m22592,tt0013201,Grandma's Boy,1922,Comedy
m57283,tt0013257,Häxan,1922,Horror
m171432,tt0013367,The Man from Beyond,1922,
m166472,tt0013372,Manslaughter,1922,
m38830,tt0013422,My Wife's Relations,1922,Comedy
m669,tt0013427,Nanook of the North,1922,Documentary
m653,tt0013442,Nosferatu,1922,"Fantasy,Horror"
m175587,tt0013472,Our Gang,1922,
m28480,tt0013496,Phantom,1922,"Drama,Fantasy"
m175597,tt0013501,Polikushka,1922,
m71066,tt0013556,Robin Hood,1922,"Drama,Action,Romance"
m96951,tt0013571,Salomé,1922,"Drama,Fantasy,Horror"
m53800,tt0013597,Sherlock Holmes,1922,"Drama,Mystery,Thriller"
m71067,tt0013662,Tess of the Storm Country,1922,"Romance,Drama"
m130062,tt0013674,The Three Must-Get-Theres,1922,
m75804,tt0013688,The Toll of the Sea,1922,"Family,Drama,Fantasy"
m175518,tt0013690,Tommy Tucker's Tooth,1922,"Comedy,Documentary,Animation"
m94344,tt0013741,The Loves of Pharaoh,1922,"History,Drama"
m184267,tt0013802,The Young Rajah,1922,"Drama,Romance"
m175553,tt0205957,Fultah Fisher's Boarding House,1922,
m184260,tt0259602,The Suram Fortress,1922,"Drama,Adventure,Crime"
m114324,tt0013386,Merry-Go-Round,1923,"Drama,Romance"
m84956,tt0013579,Warning Shadows,1923,"Thriller,Fantasy,Drama,Horror"
m49452,tt0013626,The Smiling Madame Beudet,1923,Drama
m146730,tt0013823,Alice's Wonderland,1923,Animation
m45807,tt0013858,The Balloonatic,1923,"Comedy,Romance"
m47703,tt0013992,Glumov's Diary,1923,"Fantasy,Comedy"
m54241,tt0014029,The Extra Girl,1923,Comedy
m18987,tt0014142,The Hunchback of Notre Dame,1923,"Drama,Horror"
m51367,tt0014218,The Love Nest,1923,Comedy
m701,tt0014341,Our Hospitality,1923,"Comedy,Drama,Family"
m53430,tt0014358,The Pilgrim,1923,Comedy
m138752,tt0014406,Return to Reason,1923,
m50182,tt0014417,La Roue,1923,Drama
m22596,tt0014429,Safety Last!,1923,"Comedy,Romance"
m97716,tt0014440,Scaramouche,1923,"Adventure,Drama"
m175869,tt0014446,The Treasure,1923,"Romance,Drama"
m91208,tt0014497,Souls for Sale,1923,"Comedy,Drama,Romance"
m24805,tt0014532,The Ten Commandments,1923,Drama
m32628,tt0014538,Three Ages,1923,"Drama,Comedy"
m70734,tt0014605,The White Sister,1923,Drama
