Id,Label,Gender
a1755,Majel Barrett,0
a1756,Stephen Collins,2
a1759,Grace Lee Whitney,1
a1765,Harold Michelson,2
a1769,Sofia Coppola,1
a1771,Giovanni Ribisi,2
a1772,Anna Faris,1
a1776,Francis Ford Coppola,2
a1788,Nicholas Meyer,2
a1796,Kirstie Alley,1
a1799,Michael Minor,2
a1810,Heath Ledger,2
a1811,Randy Quaid,2
a1812,Michelle Williams,1
a1813,Anne Hathaway,1
a1816,Marty Antonini,0
a1817,Linda Cardellini,1
a1833,Jamie Sives,2
a1834,Shirley Henderson,1
a1836,Julia Davis,0
a1840,Gordon Brown,2
a1844,Til Schweiger,2
a1846,André Hennicke,2
a1852,Jan Josef Liefers,2
a1853,Thierry van Werveke,2
a1854,Huub Stapel,2
a1855,Leonard Lansink,2
a1856,Ralph Herforth,2
a1857,Cornelia Froboess,0
a1859,Christiane Paul,1
a1860,Hannes Jaenicke,2
a1863,Tobias Schenke,2
a1864,Jenny Elvers,1
a1865,Hark Bohm,2
a1866,Muriel Baumeister,1
a1874,Katja Riemann,1
a1875,Rufus Beck,2
a1884,Steven Soderbergh,2
a1886,Ted Griffin,0
a1888,Jerry Weintraub,2
a1892,Matt Damon,2
a1893,Casey Affleck,2
a1894,Scott Caan,2
a1895,Carl Reiner,2
a1896,Don Cheadle,2
a1897,Bernie Mac,2
a1898,Eddie Jemison,2
a1900,Shaobo Qin,2
a1902,Dianne Wiest,1
a1903,Alan Arkin,2
a1904,Anthony Michael Hall,2
a1906,Scott L. Schwartz,0
a1907,Kathy Baker,1
a1909,Conchata Ferrell,1
a1910,Caroline Aaron,1
a1911,Dick Anthony Williams,2
a1912,O-Lan Jones,1
a1913,Susan Blommaert,1
a1920,Winona Ryder,1
a1922,Catherine Zeta-Jones,1
a1923,Robbie Coltrane,2
a1925,Vincent Cassel,2
a1926,Eddie Izzard,2
a1937,Mickey Rooney,0
a1951,Elisabeth Shue,1
a1952,Jeffrey Weissman,0
a1953,Casey Siemaszko,2
a1954,Billy Zane,2
a1956,Cherry Jones,1
a1957,Sophie Marceau,1
a1958,Claude Brasseur,2
a1972,Dominique Lavanant,1
a1977,Richard Bohringer,2
a1979,Kevin Spacey,2
a1980,Mary McCormack,1
a1981,Alfre Woodard,1
a1982,Ajay Naidu,2
a1983,Vincent Laresca,2
a1984,Kimberly Scott,1
a1985,Saul Williams,2
a1986,Peter Gerety,2
a1989,Celia Weston,1
a1990,Brian Howe,0
a2022,Catherine Hicks,1
a2034,Danny Boyle,2
a2036,Alex Garland,2
a2037,Cillian Murphy,2
a2038,Naomie Harris,1
a2039,Brendan Gleeson,2
a2040,Christopher Eccleston,2
a2041,Dr. Dre,2
a2047,Danny Glover,2
a2048,Gary Busey,2
a2049,Rubén Blades,2
a2050,Noah Huntley,2
a2051,María Conchita Alonso,1
a2053,Bill Paxton,2
a2055,Robert Davi,2
a2059,Adam Baldwin,2
a2060,Alex Palmer,0
a2061,Bindu De Stoppani,0
a2064,Morton Downey Jr,2
a2065,David Schneider,2
a2066,Toby Sedgwick,0
a2072,Lilyan Chauvin,1
a2076,David Warner,2
a2090,Kirk Douglas,2
a2103,Mark Rosenthal,2
a2106,Walt Disney,2
a2109,Kim Cattrall,1
a2115,Kurtwood Smith,2
a2127,James Wan,2
a2128,Leigh Whannell,2
a2130,Cary Elwes,2
a2131,Ken Leung,2
a2133,Dina Meyer,1
a2136,Michael Emerson,2
a2137,Benito Martinez,2
a2138,Shawnee Smith,1
a2139,Makenzie Vega Norfolk,1
a2140,Monica Potter,1
a2141,Ned Bellamy,2
a2144,Tobin Bell,2
a2154,Scott Bakula,2
a2155,Thora Birch,1
a2157,Robin Williams,2
a2162,Lynda Obst,1
a2165,Rosanna Arquette,1
a2166,Sergio Castellitto,2
a2167,Mercedes Ruehl,1
a2171,Griffin Dunne,0
a2173,Valentina Vargas,1
a2176,Tommy Lee Jones,2
a2178,Forest Whitaker,2
a2192,Lambert Wilson,2
a2197,Daniel Russo,2
a2201,Max von Sydow,2
a2202,Steve Harris,2
a2203,Neal McDonough,2
a2205,Jessica Capshaw,1
a2206,Samantha Morton,1
a2207,Lois Smith,1
a2208,Kathryn Morris,1
a2219,Tobey Maguire,2
a2220,Tony Curran,2
a2221,Leland Orser,2
a2222,Beau Bridges,2
a2223,Fred Savage,2
a2224,Christian Slater,2
a2225,Todd Holland,2
a2226,Sydney Pollack,2
a2227,Nicole Kidman,1
a2228,Sean Penn,2
a2229,Catherine Keener,1
a2230,Pam Grier,1
a2231,Samuel L. Jackson,2
a2232,Michael Keaton,2
a2234,Michael Bowen,2
a2239,Anthony Minghella,2
a2244,Jesper Christensen,2
a2245,Yvan Attal,2
a2246,Earl Cameron,2
a2247,George Harris,2
a2248,Michael Wright,2
a2249,Clyde Kusatsu,2
a2250,Eric Keenleyside,2
a2251,Hugo Speer,2
a2252,Maz Jobrani,2
a2254,Curtiss Cook,2
a2256,Robert Clohessy,2
a2257,Terry Serpico,2
a2258,Stuart McQuarrie,2
a2274,Miriam Karlin,0
a2277,Loyd Catlett,2
a2280,Clive Francis,0
a2282,Ben Kingsley,2
a2283,Stanley Tucci,2
a2289,John Barry,0
a2293,Frank Miller,2
a2294,Robert Rodriguez,2
a2295,Mickey Rourke,2
a2296,Clive Owen,2
a2299,Josh Hartnett,2
a2302,Adam Fogerty,2
a2303,Wim Wenders,2
a2310,Bruno Ganz,2
a2311,Otto Sander,2
a2314,Peter Falk,2
a2315,Hans Martin Stier,2
a2319,Maria de Medeiros,1
a2320,Julian Richings,2
a2321,Jessica Amlee,1
a2339,Julia Hummer,1
a2340,Barbara Auer,1
a2341,Richy Müller,0
a2343,Katharina Schüttler,1
a2344,Günther Maria Halmer,2
a2366,Dante Ferretti,2
a2368,Elya Baskin,2
a2369,Michael Lonsdale,2
a2372,Ron Perlman,2
a2376,Urs Althaus,2
a2380,David Carson,2
a2385,Ronald D. Moore,2
a2387,Patrick Stewart,2
a2388,Jonathan Frakes,2
a2390,LeVar Burton,2
a2391,Michael Dorn,2
a2392,Gates McFadden,1
a2393,Marina Sirtis,1
a2394,Alan Ruck,2
a2395,Whoopi Goldberg,1
a2405,Audrey Tautou,1
a2406,Mathieu Kassovitz,2
a2407,Rufus,2
a2408,Jamel Debbouze,2
a2409,Lorella Cravotta,0
a2410,Serge Merlin,2
a2411,Clotilde Mollet,1
a2412,Isabelle Nanty,1
a2413,Dominique Pinon,2
a2414,Artus de Penguern,2
a2415,Yolande Moreau,0
a2416,Urbain Cancelier,2
a2417,Maurice Bénichou,2
a2419,Jean-Pierre Jeunet,2
a2440,Bill Nighy,2
a2441,Tom Hollander,2
a2449,Kevin McNally,2
a2450,Lauren Maher,1
a2452,Vanessa Branch,1
a2453,Mary Steenburgen,1
a2454,Matt Clark,2
a2461,Mel Gibson,2
a2462,Catherine McCormack,0
a2464,Angus Macfadyen,2
a2465,James Robinson,0
a2467,James Cosmo,2
a2472,Sean Lawlor,2
a2477,Stephen Billington,2
a2478,Tommy Flanagan,2
a2479,Rupert Vansittart,2
a2482,David O'Hara,2
a2505,James Cromwell,2
a2506,Alice Krige,1
a2516,Anthony Zerbe,2
a2517,Donna Murphy,1
a2518,Gregg Henry,2
a2524,Tom Hardy,2
a2535,Vivica A. Fox,1
a2536,Michael Parks,2
a2537,Sonny Chiba,2
a2538,Chiaki Kuriyama,1
a2539,Julie Dreyfus,1
a2541,Jun Kunimura,2
a2542,Kazuki Kitamura,2
a2544,Akaji Maro,0
a2547,Bruce Boxleitner,2
a2555,David Proval,2
a2559,Henri-Georges Clouzot,2
a2585,Eric Clapton,2
a2598,Sophie Okonedo,1
a2603,Hakeem Kae-Kazim,2
a2606,Tony Kgoroge,2
a2607,Fana Mokoena,0
a2609,Leleti Khumalo,0
a2612,Mosa Kaiser,0
a2617,Cara Seymour,1
a2619,Simo Mogwaza,0
a2620,Harriet Lenabe,0
a2628,Kiefer Sutherland,2
a2629,Alun Armstrong,2
a2630,Nastassja Kinski,1
a2632,Chris Rock,2
a2636,Alfred Hitchcock,2
a2638,Cary Grant,2
a2639,Eva Marie Saint,1
a2641,Martin Landau,2
a2657,Robert F. Boyle,2
a2675,Darren Lynn Bousman,2
a2676,Kim Roberts,1
a2677,Bahar Soomekh,1
a2679,David Hackl,2
a2680,Donnie Wahlberg,2
a2681,Erik Knudsen,0
a2682,Franky G,0
a2683,Glenn Plummer,2
a2684,Emmanuelle Vaugier,1
a2685,Beverley Mitchell,1
a2686,Tim Burd,2
a2687,Lyriq Bent,2
a2694,Josh Charles,2
a2695,Dylan Kussman,2
a2697,James Waterston,2
a2698,Norman Lloyd,2
a2710,James Cameron,2
a2712,Michael Biehn,2
a2713,Linda Hamilton,1
a2714,Lance Henriksen,2
a2719,Brian Thompson,2
a2724,Stanzi Stokes,0
a2729,Irm Hermann,1
a2738,Fritz Müller-Scherz,2
a2744,Carmen Maura,1
a2746,Elia Kazan,2
a2749,James Dean,0
a2750,Julie Harris,1
a2759,Lola Dueñas,1
a2769,Natalie Wood,1
a2778,Dennis Hopper,2
a2781,Beverly Long,1
a2787,Nick Adams,2
a2807,Krystyna Janda,1
a2821,Kazimierz Kaczor,0
a2822,Ewa Ziętek,0
a2825,Marian Opania,0
a2829,Andrzej Seweryn,2
a2831,Jerzy Trela,2
